fiscal_year,entity_name,total_governmental_expenditures,public_protection_expenditures,public_protection_pct,probation_expenditures
2010,Mono,54899929,23141522,42.15,1311465
2010,Monterey,620175994,187096505,30.17,16876478
2010,Napa,222936668,93030015,41.73,8509144
2010,Nevada,136024226,54203540,39.85,3839247
2010,Orange,2831835154,1051533478,37.13,85280730
2010,Placer,507995721,161368144,31.77,14359268
2010,Plumas,51018479,15449163,30.28,1231126
2010,Riverside,2791031223,1030453557,36.92,42573905
2010,Sacramento,2181703524,633414615,29.03,33365624
2010,San Benito,77546557,24154443,31.15,1899398
2010,San Bernardino,2341330188,732107333,31.27,54596491
2010,San Diego,3480891268,1013489263,29.12,89858544
2010,San Francisco,7150360709,1049619836,14.68,11488654
2010,San Joaquin,827237389,276446207,33.42,16239447
2010,San Luis Obispo,417813607,119908177,28.7,9831677
2010,San Mateo,889585570,313562279,35.25,1902697
2010,Santa Barbara,687821486,266240712,38.71,21457286
2010,Santa Clara,2240286832,700189201,31.25,18342999
2010,Santa Cruz,370484098,110678462,29.87,10769422
2010,Shasta,251967238,73933812,29.34,5579635
2010,Sierra,19794133,4478120,22.62,414334
2010,Siskiyou,98456605,29149720,29.61,1783106
2010,Solano,596834305,182212260,30.53,20904872
2010,Sonoma,752601136,263785809,35.05,17247484
2010,Stanislaus,667880089,185148669,27.72,10755183
2010,Sutter,135228977,33297044,24.62,4349073
2010,Tehama,98281436,28449283,28.95,2318498
2010,Trinity,35257309,9439123,26.77,838242
2010,Tulare,630077310,182854482,29.02,13044486
2010,Tuolumne,94071213,31663739,33.66,2894349
2010,Ventura,907251083,404591602,44.6,11334085
2010,Yolo,252233289,74009696,29.34,6033263
2010,Yuba,124070063,43565082,35.11,4295832
2011,Alameda,2186575262,613605822,28.06,51583804
2011,Alpine,14985215,4327319,28.88,281307
2011,Amador,56480528,26135898,46.27,1920869
2011,Butte,339091982,88885361,26.21,8561778
2011,Calaveras,68757036,18148577,26.4,1654485
2011,Colusa,44835344,16618219,37.06,1719815
2011,Contra Costa,1264031617,360251070,28.5,29159148
2011,Del Norte,53383843,17266627,32.34,1356032
2011,El Dorado,266344151,100771731,37.84,6526531
2011,Fresno,1210298088,333570967,27.56,24566596
2011,Glenn,63863241,18000519,28.19,1283464
2011,Humboldt,229031090,64483205,28.15,5329795
2011,Imperial,270821482,80614458,29.77,5325201
2011,Inyo,59990143,23328857,38.89,1223089
2011,Kern,1240231313,459888731,37.08,31356892
2011,Kings,186724804,60553527,32.43,8239607
2011,Lake,113050106,33225101,29.39,2182678
2011,Lassen,56248429,17708849,31.48,1417296
2011,Los Angeles,14228721923,4471023516,31.42,357731772
2011,Madera,175060128,51741589,29.56,3316949
2011,Marin,425584214,130957087,30.77,11372955
2011,Mariposa,53475231,17852114,33.38,1486007
2011,Mendocino,177775338,44187121,24.86,3437327
2011,Merced,381982988,116878153,30.6,10030652
2011,Modoc,24497124,5664775,23.12,396271
2011,Mono,55440247,22873041,41.26,1598427
2011,Monterey,584675351,185904570,31.8,18781024
2011,Napa,238909714,95922531,40.15,8696836
2011,Nevada,136646318,53745272,39.33,3893930
2011,Orange,2900844609,1070613704,36.91,85467957
2011,Placer,532110617,167998511,31.57,3826258
2011,Plumas,49988905,14491516,28.99,1371398
2011,Riverside,2657624984,1040282249,39.14,38011493
2011,Sacramento,2211419968,642143126,29.04,30032426
2011,San Benito,76736034,27953714,36.43,2240897
2011,San Bernardino,2431957626,731124640,30.06,63560977
2011,San Diego,3464980984,1037809620,29.95,95535020
2011,San Francisco,7215033725,1062055012,14.72,11870089
2011,San Joaquin,812097221,261179783,32.16,15634608
2011,San Luis Obispo,391370573,123535265,31.56,9780546
2011,San Mateo,978119250,332944146,34.04,729759
2011,Santa Barbara,711383031,273975260,38.51,25827146
2011,Santa Clara,2221952966,694564928,31.26,18227306
2011,Santa Cruz,411937327,109369419,26.55,10088857
2011,Shasta,242421003,69546535,28.69,5793404
2011,Sierra,18811394,4797984,25.51,424669
2011,Siskiyou,89789966,28602252,31.85,1877313
2011,Solano,545748892,171242135,31.38,19048121
2011,Sonoma,748837328,253628824,33.87,16159084
2011,Stanislaus,668608783,163271618,24.42,10729977
2011,Sutter,138228222,33854972,24.49,4415136
2011,Tehama,100352024,28301287,28.2,2482612
2011,Trinity,37586333,10079619,26.82,881836
2011,Tulare,640790457,177693721,27.73,12168883
2011,Tuolumne,88194807,30857396,34.99,2859445
2011,Ventura,922679557,414418060,44.91,14839932
2011,Yolo,235957939,73587079,31.19,6218197
2011,Yuba,128371392,42662383,33.23,5153816
2012,Alameda,2221267982,618674998,27.85,47725659
2012,Alpine,18554914,4868275,26.24,188831
2012,Amador,58278873,28339604,48.63,2213483
2012,Butte,346436651,93116908,26.88,8917425
2012,Calaveras,77410132,18082498,23.36,1818623
2012,Colusa,45274720,17272003,38.15,1877892
2012,Contra Costa,1227215707,361304270,29.44,29133328
2012,Del Norte,63415707,16103082,25.39,1239583
2012,El Dorado,259793628,95559741,36.78,6672670
2012,Fresno,1162917428,330159809,28.39,25588742
2012,Glenn,63500344,17618208,27.75,1300794
2012,Humboldt,236086950,68647869,29.08,5758313
2012,Imperial,276416983,85561235,30.95,5871455
2012,Inyo,57005250,23176030,40.66,1336808
2012,Kern,1222980013,468240544,38.29,32434924
2012,Kings,180967549,60435436,33.4,6336428
2012,Lake,111597871,32520493,29.14,2758987
2012,Lassen,59504707,17507849,29.42,1140065
2012,Los Angeles,14317792322,4587366613,32.04,370198722
2012,Madera,182832455,52127113,28.51,3742215
2012,Marin,428576121,132901354,31.01,11346817
2012,Mariposa,53204270,17905533,33.65,1592721
2012,Mendocino,168181021,42424318,25.23,3460696
2012,Merced,368867790,114947967,31.16,10648205
2012,Modoc,27183754,5426672,19.96,372687
2012,Mono,53222958,23512809,44.18,1531300
2012,Monterey,572297293,185865118,32.48,17909623
2012,Napa,243564559,99205124,40.73,9171021
2012,Nevada,132228940,52603686,39.78,3935031
2012,Orange,3016127086,1096349400,36.35,88096593
2012,Placer,490195023,164624738,33.58,15209564
2012,Plumas,49542389,15764270,31.82,1396754
2012,Riverside,2625669768,1025048627,39.04,44824353
2012,Sacramento,2133866898,649654876,30.44,37870268
2012,San Benito,71120382,24469637,34.41,2517991
2012,San Bernardino,2411016573,770965439,31.98,72238903
2012,San Diego,3583596425,1099748072,30.69,103513097
2012,San Francisco,7528148854,1115656578,14.82,15536757
2012,San Joaquin,799090397,259812543,32.51,15071979
2012,San Luis Obispo,391563019,125304958,32.0,9873964
2012,San Mateo,905698898,332207885,36.68,0
2012,Santa Barbara,709883960,280681812,39.54,25160462
2012,Santa Clara,2113032669,667153858,31.57,17332250
2012,Santa Cruz,391622021,109645814,28.0,10316406
2012,Shasta,246872196,70412836,28.52,6023491
2012,Sierra,17956062,5085345,28.32,464942
2012,Siskiyou,85304236,27923168,32.73,2013118
2012,Solano,540079500,169297219,31.35,17685166
2012,Sonoma,693962652,242980005,35.01,17285280
2012,Stanislaus,625602994,155849650,24.91,10049265
2012,Sutter,131105866,32723208,24.96,4568529
2012,Tehama,95159848,28733558,30.2,2695022
2012,Trinity,37749855,10296762,27.28,1041825
2012,Tulare,650746514,192397072,29.57,12079781
2012,Tuolumne,93148168,32687577,35.09,3465483
2012,Ventura,928689491,418937388,45.11,20774606
2012,Yolo,224807321,75974340,33.8,7884090
2012,Yuba,124800978,45818261,36.71,5617827
2013,Alameda,2295382137,642422591,27.99,48144484
2013,Alpine,15847036,4677475,29.52,211035
2013,Amador,59004964,27615256,46.8,2067879
2013,Butte,342071586,96429046,28.19,9282452
2013,Calaveras,92327721,19104683,20.69,2088444
2013,Colusa,52182623,18044980,34.58,1901528
2013,Contra Costa,1265584883,372290382,29.42,17798975
2013,Del Norte,66297090,16602221,25.04,1600363
2013,El Dorado,269540811,93001505,34.5,7030721
2013,Fresno,1212382229,332907320,27.46,28878450
2013,Glenn,62857893,18215421,28.98,1556032
2013,Humboldt,235479315,62672042,26.61,6475445
2013,Imperial,278185756,81973917,29.47,8307570
2013,Inyo,62795928,23431057,37.31,1428022
2013,Kern,1259358223,504681669,40.07,36373262
2013,Kings,189311156,64713571,34.18,7001971
2013,Lake,110052632,33539193,30.48,3139788
2013,Lassen,53708888,17066873,31.78,1032801
2013,Los Angeles,14865227666,4764599165,32.05,411619408
2013,Madera,187712008,55255946,29.44,3771485
2013,Marin,404714132,137373694,33.94,12539218
2013,Mariposa,53554518,18767600,35.04,1783529
2013,Mendocino,170543072,44560695,26.13,4420436
2013,Merced,371362070,108095603,29.11,11928866
2013,Modoc,26016897,5619539,21.6,376465
2013,Mono,49088270,21145576,43.08,1293202
2013,Monterey,579409746,184946576,31.92,22900959
2013,Napa,263633326,100120766,37.98,11275201
2013,Nevada,130087983,49079342,37.73,3332202
2013,Orange,3112438897,1139851254,36.62,93630450
2013,Placer,496659104,168595410,33.95,16299489
