year,county_name,fips,total_pop,total_pop_15to64,total_jail_pop,female_jail_pop,male_jail_pop,jail_rated_capacity,total_jail_pretrial,total_jail_sentenced,total_jail_adm,black_jail_pop,latinx_jail_pop,white_jail_pop,aapi_jail_pop,native_jail_pop,total_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,latinx_prison_pop,white_prison_pop,aapi_prison_pop,native_prison_pop,total_prison_pop_rate,total_prison_adm,total_incarceration,total_incarceration_rate,fiscal_year_ending,total_governmental_expenditures,public_protection_expenditures,public_protection_pct_of_govt_expenditures,probation_expenditures,felony_probation,misdemeanor_probation,total_probation
2007,Tulare,06107,422140.0,268301.0,1547.8,192.2,1334.8,1640.0,803.5,744.3,21040.0,52.8,979.1,430.9,49.3,13.7,576.9,2872.0,179.0,2693.0,168.0,1776.0,798.0,8.0,42.0,1070.4,1966.0,4362.9,1626.1,2007,589454537,169114909,28.69,10241031,4497,0,4497
2008,Tulare,06107,429283.0,272603.0,1536.0,210.8,1330.0,1640.0,695.0,841.0,27365.0,56.8,1008.9,411.4,47.9,14.4,563.5,2805.0,168.0,2637.0,165.0,1744.0,770.0,15.0,38.0,1029.0,1851.0,4249.7,1558.9,2008,622040008,188070036,30.23,11731895,4238,0,4238
2009,Tulare,06107,436987.0,277460.0,1520.8,216.2,1308.8,1640.0,777.9,742.8,25844.0,59.8,1007.7,394.8,45.9,15.2,548.1,2851.0,169.0,2682.0,180.0,1801.0,737.0,14.0,50.0,1027.5,1746.0,4284.2,1544.1,2009,651407421,190768062,29.29,12746487,4802,0,4802
2010,Tulare,06107,443067.0,281104.0,1344.0,175.1,1163.6,1640.0,731.6,612.4,20049.0,55.9,872.8,354.9,41.3,13.4,478.1,2927.0,163.0,2764.0,182.0,1859.0,759.0,12.0,45.0,1041.2,1831.0,4207.4,1496.7,2010,630077310,182854482,29.02,13044486,5247,383,5630
2011,Tulare,06107,447293.0,283844.0,1371.0,174.0,1188.5,1640.0,819.1,551.9,23784.0,58.3,871.4,376.6,44.3,13.4,483.0,2638.0,144.0,2494.0,163.0,1706.0,658.0,8.0,43.0,929.4,1339.0,3983.4,1403.4,2011,640790457,177693721,27.73,12168883,4827,301,5128
2012,Tulare,06107,450717.0,285351.0,1609.0,214.4,1399.9,1656.9,1021.4,587.6,24529.0,75.7,1024.3,443.9,55.1,17.8,563.9,2315.0,112.0,2203.0,153.0,1491.0,557.0,12.0,44.0,811.3,460.0,3910.1,1370.3,2012,650746514,192397072,29.57,12079781,4549,408,4957
2013,Tulare,06107,453830.0,287063.0,1633.2,219.7,1418.3,1720.6,1134.0,499.3,22526.0,74.0,1019.3,462.3,57.0,19.1,568.9,2325.0,106.0,2219.0,148.0,1509.0,512.0,11.0,43.0,809.9,543.0,3942.1,1373.2,2013,653783441,184342745,28.2,12292360,4757,374,5131
2014,Tulare,06107,456883.0,288509.0,1710.5,236.1,1472.2,1715.8,1156.7,553.8,21024.0,67.0,1068.5,498.2,59.0,18.9,592.9,2337.0,112.0,2225.0,143.0,1514.0,518.0,14.0,42.0,810.0,557.0,4024.3,1394.9,2014,673561553,194994027,28.95,13841229,4631,320,4951
2015,Tulare,06107,459286.0,289996.0,1531.2,197.4,1303.6,1732.5,908.2,623.1,21735.0,75.7,956.4,404.6,48.4,16.2,528.0,2232.0,80.0,2152.0,132.0,1479.0,456.0,18.0,45.0,769.7,531.0,3745.1,1291.4,2015,665138187,195940821,29.46,15689625,3604,358,3962
2016,Tulare,06107,461960.0,291788.0,1579.0,194.0,1364.3,1734.0,921.8,657.2,20473.0,80.8,1003.4,409.1,51.4,14.6,541.1,2311.0,80.0,2231.0,142.0,1562.0,459.0,15.0,44.0,792.0,556.0,3863.4,1324.0,2016,708949390,204955405,28.91,14218028,3102,418,3520
2017,Tulare,06107,465517.0,294214.0,1656.5,221.9,1440.6,1738.9,969.4,687.1,20385.0,52.5,1053.5,491.9,46.0,23.7,563.0,2262.0,69.0,2193.0,145.0,1531.0,451.0,16.0,39.0,768.8,516.0,3892.6,1323.0,2017,729155977,212837679,29.19,15613478,2785,347,3132
2018,Tulare,06107,468216.0,296138.0,1499.0,212.7,1298.1,1750.9,938.5,560.5,19008.0,46.5,976.3,430.3,27.1,24.8,506.2,2273.0,79.0,2194.0,149.0,1555.0,446.0,12.0,35.0,767.5,541.0,3747.6,1265.5,2018,790609074,228735525,28.93,15541945,2994,272,3266
2019,Tulare,06107,470205.0,297512.0,1504.0,184.6,1321.9,1754.0,1073.4,430.6,9448.0,74.0,1048.3,341.8,18.5,18.1,505.5,2219.0,85.0,2134.0,138.0,1539.0,422.0,17.0,35.0,745.9,501.0,3704.9,1245.3,2019,818828402,244410977,29.85,16192338,2364,329,2693
2020,Tulare,06107,473891.0,300640.0,1197.3,137.0,1095.3,1825.2,973.1,224.2,7465.0,62.4,868.5,271.7,13.1,14.3,398.3,,,,,,,,,,,,,2020,853476620,252651642,29.6,16344000,1841,203,2044
2021,Tulare,06107,476946.0,304116.0,1273.8,154.1,1111.4,1627.6,966.5,307.3,6006.0,64.8,870.7,298.9,14.1,14.6,418.8,,,,,,,,,,,,,2021,922089272,262077347,28.42,15641886,1615,99,1714
2022,Tulare,06107,477544.0,305528.0,1205.8,152.7,1058.3,1614.6,873.2,332.6,6451.0,68.5,835.8,281.8,11.4,13.5,394.6,,,,,,,,,,,,,2022,1046664084,280718432,26.82,17931254,1688,96,1784
2023,Tulare,06107,477544.0,305528.0,1138.0,144.2,999.3,1615.0,830.9,722.5,6508.0,63.5,796.6,261.2,10.1,12.1,372.5,,,,,,,,,,,,,2023,1111551303,295731815,26.61,21670723,1523,47,1570
2024,Tulare,06107,477544.0,305528.0,1264.0,,,1615.0,,1264.0,6509.0,,,,,,413.7,,,,,,,,,,,,,2024,1180118422,318197828,26.96,25232821,1831,65,1896
2000,Tuolumne,06109,54658.0,35586.0,114.5,22.7,91.8,125.4,60.2,54.3,3198.0,0.9,7.5,105.2,,0.9,321.8,254.0,25.0,229.0,,13.0,216.0,,17.0,713.8,184.0,368.5,1035.5,,,,,,,,
2001,Tuolumne,06109,55253.0,36229.0,124.0,24.6,99.4,130.3,65.2,58.8,4385.0,1.0,8.2,113.9,,1.0,342.3,245.0,22.0,223.0,5.0,11.0,215.0,,11.0,676.2,181.0,369.0,1018.5,,,,,,,,
2002,Tuolumne,06109,55850.0,36771.0,130.0,28.1,102.6,135.1,68.3,61.7,4754.0,1.0,8.6,119.4,,1.0,353.5,230.0,19.0,211.0,5.0,12.0,201.0,,8.0,625.5,176.0,360.0,979.0,,,,,,,,
2003,Tuolumne,06109,56513.0,37244.0,133.5,28.0,105.5,139.9,70.2,63.3,5029.0,1.0,8.8,122.6,,1.0,358.4,244.0,29.0,215.0,7.0,9.0,214.0,,11.0,655.1,162.0,377.5,1013.6,2003,74547003,23697255,31.79,2434806,287,883,1170
2004,Tuolumne,06109,56602.0,37530.0,129.2,24.9,106.4,144.8,67.9,61.3,5204.0,1.0,8.5,118.7,,1.0,344.4,256.0,26.0,230.0,5.0,25.0,211.0,,13.0,682.1,169.0,385.2,1026.5,2004,78653992,25302605,32.17,2243099,704,1434,2138
2005,Tuolumne,06109,56788.0,37769.0,127.0,22.1,105.4,149.4,77.6,49.4,5044.0,1.4,10.0,114.2,0.8,1.4,336.3,270.0,17.0,253.0,,22.0,226.0,,15.0,714.9,169.0,396.2,1049.1,2005,81813063,26608963,32.52,2347281,779,1569,2348
